"trt","Date","Moisture"
"cntl",2021-04-12,0.213941818181818
"cntl",2021-04-13,0.237613333333333
"cntl",2021-04-14,0.251988333333333
"cntl",2021-04-15,0.257316666666667
"cntl",2021-04-16,0.264133333333333
"cntl",2021-04-17,0.273938333333333
"cntl",2021-04-18,0.273833333333333
"cntl",2021-04-19,0.273443333333333
"cntl",2021-04-20,0.273978333333333
"cntl",2021-04-21,0.274556666666667
"cntl",2021-04-22,0.275776666666667
"cntl",2021-04-23,0.275743333333333
"cntl",2021-04-24,0.275528333333333
"cntl",2021-04-25,0.275585
"cntl",2021-04-26,0.275551666666667
"cntl",2021-04-27,0.296185
"cntl",2021-04-28,0.356845
"cntl",2021-04-29,0.33789
"cntl",2021-04-30,0.329383333333333
"cntl",2021-05-01,0.323198333333333
"cntl",2021-05-02,0.318518333333333
"cntl",2021-05-03,0.336328333333333
"cntl",2021-05-04,0.338426666666667
"cntl",2021-05-05,0.331965
"cntl",2021-05-06,0.327095
"cntl",2021-05-07,0.323261666666667
"cntl",2021-05-08,0.319758333333333
"cntl",2021-05-09,0.315753333333333
"cntl",2021-05-10,0.327871666666667
"cntl",2021-05-11,0.349593333333333
"cntl",2021-05-12,0.357961666666667
"cntl",2021-05-13,0.341961666666667
"cntl",2021-05-14,0.333856666666667
"cntl",2021-05-15,0.330826666666667
"cntl",2021-05-16,0.329276666666667
"cntl",2021-05-17,0.326323333333333
"cntl",2021-05-18,0.324921666666667
"cntl",2021-05-19,0.322648333333333
"cntl",2021-05-20,0.320021666666667
"cntl",2021-05-21,0.316021666666667
"cntl",2021-05-22,0.313055
"cntl",2021-05-23,0.314216666666667
"cntl",2021-05-24,0.311123333333333
"cntl",2021-05-25,0.30713
"cntl",2021-05-26,0.302466666666667
"cntl",2021-05-27,0.297291666666667
"cntl",2021-05-28,0.290646666666667
"cntl",2021-05-29,0.285048333333333
"cntl",2021-05-30,0.284775
"cntl",2021-05-31,0.284546666666667
"cntl",2021-06-01,0.282021666666667
"cntl",2021-06-02,0.279645
"cntl",2021-06-03,0.274613333333333
"cntl",2021-06-04,0.266903333333333
"cntl",2021-06-05,0.258003333333333
"cntl",2021-06-06,0.249836666666667
"cntl",2021-06-07,0.241706666666667
"cntl",2021-06-08,0.255015
"cntl",2021-06-09,0.332163333333333
"cntl",2021-06-10,0.309205
"cntl",2021-06-11,0.2928
"cntl",2021-06-12,0.277531666666667
"cntl",2021-06-13,0.262843333333333
"cntl",2021-06-14,0.250173333333333
"cntl",2021-06-15,0.236898333333333
"cntl",2021-06-16,0.226273333333333
"cntl",2021-06-17,0.218588333333333
"cntl",2021-06-18,0.22261
"cntl",2021-06-19,0.261838333333333
"cntl",2021-06-20,0.24318
"cntl",2021-06-21,0.233113333333333
"cntl",2021-06-22,0.223198333333333
"cntl",2021-06-23,0.214108333333333
"cntl",2021-06-24,0.20846
"cntl",2021-06-25,0.206128333333333
"cntl",2021-06-26,0.204183333333333
"cntl",2021-06-27,0.20167
"cntl",2021-06-28,0.199658333333333
"cntl",2021-06-29,0.197256666666667
"cntl",2021-06-30,0.195148333333333
"cntl",2021-07-01,0.194395
"cntl",2021-07-02,0.195108333333333
"cntl",2021-07-03,0.192606666666667
"cntl",2021-07-04,0.190388333333333
"cntl",2021-07-05,0.188355
"cntl",2021-07-06,0.186743333333333
"cntl",2021-07-07,0.184355
"cntl",2021-07-08,0.182143333333333
"cntl",2021-07-09,0.179915
"cntl",2021-07-10,0.177723333333333
"cntl",2021-07-11,0.175626666666667
"cntl",2021-07-12,0.173018333333333
"cntl",2021-07-13,0.17101
"cntl",2021-07-14,0.172871666666667
"cntl",2021-07-15,0.178336666666667
"cntl",2021-07-16,0.17423
"cntl",2021-07-17,0.172028333333333
"cntl",2021-07-18,0.17088
"cntl",2021-07-19,0.169775
"cntl",2021-07-20,0.168313333333333
"cntl",2021-07-21,0.167368333333333
"cntl",2021-07-22,0.166073333333333
"cntl",2021-07-23,0.165173333333333
"cntl",2021-07-24,0.163306666666667
"cntl",2021-07-25,0.162561666666667
"cntl",2021-07-26,0.161466666666667
"cntl",2021-07-27,0.160293333333333
"cntl",2021-07-28,0.15944
"cntl",2021-07-29,0.158413333333333
"cntl",2021-07-30,0.157093333333333
"cntl",2021-07-31,0.155465
"cntl",2021-08-01,0.154348333333333
"cntl",2021-08-02,0.15374
"cntl",2021-08-03,0.153593333333333
"cntl",2021-08-04,0.154858333333333
"cntl",2021-08-05,0.153481666666667
"cntl",2021-08-06,0.154051666666667
"cntl",2021-08-07,0.15442
"cntl",2021-08-08,0.15312
"cntl",2021-08-09,0.153405
"cntl",2021-08-10,0.152856666666667
"cntl",2021-08-11,0.152553333333333
"cntl",2021-08-12,0.152618333333333
"cntl",2021-08-13,0.15209
"cntl",2021-08-14,0.151778333333333
"cntl",2021-08-15,0.15132
"cntl",2021-08-16,0.15028
"cntl",2021-08-17,0.149781666666667
"cntl",2021-08-18,0.149078333333333
"cntl",2021-08-19,0.148048333333333
"cntl",2021-08-20,0.147958333333333
"cntl",2021-08-21,0.145521666666667
"cntl",2021-08-22,0.145731666666667
"cntl",2021-08-23,0.145933333333333
"cntl",2021-08-24,0.145976666666667
"cntl",2021-08-25,0.146185
"cntl",2021-08-26,0.148101666666667
"cntl",2021-08-27,0.154971666666667
"cntl",2021-08-28,0.150901666666667
"cntl",2021-08-29,0.1492
"cntl",2021-08-30,0.148138333333333
"cntl",2021-08-31,0.147978333333333
"cntl",2021-09-01,0.1479
"cntl",2021-09-02,0.148336666666667
"cntl",2021-09-03,0.149155
"cntl",2021-09-04,0.153946666666667
"cntl",2021-09-05,0.149666666666667
"cntl",2021-09-06,0.148745
"cntl",2021-09-07,0.148243333333333
"cntl",2021-09-08,0.147903333333333
"cntl",2021-09-09,0.147543333333333
"cntl",2021-09-10,0.147341666666667
"cntl",2021-09-11,0.147518333333333
"cntl",2021-09-12,0.146198333333333
"cntl",2021-09-13,0.1446
"cntl",2021-09-14,0.144163333333333
"cntl",2021-09-15,0.14375
"cntl",2021-09-16,0.143146666666667
"cntl",2021-09-17,0.141823333333333
"cntl",2021-09-18,0.141085
"cntl",2021-09-19,0.14222
"cntl",2021-09-20,0.140371666666667
"cntl",2021-09-21,0.137786666666667
"cntl",2021-09-22,0.137388333333333
"cntl",2021-09-23,0.13767
"cntl",2021-09-24,0.1376
"cntl",2021-09-25,0.137423333333333
"cntl",2021-09-26,0.13738
"cntl",2021-09-27,0.137176666666667
"cntl",2021-09-28,0.13679
"cntl",2021-09-29,0.135256666666667
"cntl",2021-09-30,0.132838333333333
"cntl",2021-10-01,0.13222
"cntl",2021-10-02,0.131978333333333
"cntl",2021-10-03,0.131676666666667
"cntl",2021-10-04,0.131826666666667
"cntl",2021-10-05,0.13155
"cntl",2021-10-06,0.131665
"cntl",2021-10-07,0.131996666666667
"cntl",2021-10-08,0.130775
"cntl",2021-10-09,0.129741666666667
"cntl",2021-10-10,0.128593333333333
"cntl",2021-10-11,0.12736
"cntl",2021-10-12,0.12604
"cntl",2021-10-13,0.127406666666667
"cntl",2021-10-14,0.12808
"cntl",2021-10-15,0.125593333333333
"cntl",2021-10-16,0.12563
"cntl",2021-10-17,0.125626666666667
"cntl",2021-10-18,0.126185
"cntl",2021-10-19,0.13359
"cntl",2021-10-20,0.146703333333333
"cntl",2021-10-21,0.143013333333333
"cntl",2021-10-22,0.141228333333333
"cntl",2021-10-23,0.139508333333333
"cntl",2021-10-24,0.138788333333333
"cntl",2021-10-25,0.138063333333333
"cntl",2021-10-26,0.137763333333333
"cntl",2021-10-27,0.136978333333333
"cntl",2021-10-28,0.136323333333333
"cntl",2021-10-29,0.136428333333333
"cntl",2021-10-30,0.136901666666667
"cntl",2021-10-31,0.136456666666667
"cntl",2021-11-01,0.138715
"cntl",2021-11-02,0.147368333333333
"cntl",2021-11-03,0.152213333333333
"cntl",2021-11-04,0.15099
"cntl",2021-11-05,0.151311666666667
"cntl",2021-11-06,0.150616666666667
"cntl",2021-11-07,0.150518333333333
"cntl",2021-11-08,0.150175
"cntl",2021-11-09,0.148865
"cntl",2021-11-10,0.14939
"cntl",2021-11-11,0.147863333333333
"cntl",2021-11-12,0.147753333333333
"cntl",2021-11-13,0.148458333333333
"cntl",2021-11-14,0.148385
"cntl",2021-11-15,0.149345
"cntl",2021-11-16,0.14917
"cntl",2021-11-17,0.146923333333333
"cntl",2021-11-18,0.143306666666667
"cntl",2021-11-19,0.144888333333333
"cntl",2021-11-20,0.145055
"cntl",2021-11-21,0.14413
"cntl",2021-11-22,0.144551666666667
"cntl",2021-11-23,0.144376666666667
"cntl",2021-11-24,0.144316666666667
"cntl",2021-11-25,0.142275
"cntl",2021-11-26,0.144023333333333
"cntl",2021-11-27,0.14429
"cntl",2021-11-28,0.143681666666667
"cntl",2021-11-29,0.14522
"cntl",2021-11-30,0.144861666666667
"cntl",2021-12-01,0.145178333333333
"cntl",2021-12-02,0.145613333333333
"cntl",2021-12-03,0.144738333333333
"cntl",2021-12-04,0.14313
"cntl",2021-12-05,0.14357
"cntl",2021-12-06,0.140811666666667
"cntl",2021-12-07,0.141205
"cntl",2021-12-08,0.141391666666667
"cntl",2021-12-09,0.141235
"cntl",2021-12-10,0.140231666666667
"cntl",2021-12-11,0.13801
"cntl",2021-12-12,0.13893
"cntl",2021-12-13,0.138533333333333
"cntl",2021-12-14,0.138211666666667
"cntl",2021-12-15,0.13798
"cntl",2021-12-16,0.136691666666667
"cntl",2021-12-17,0.136165
"cntl",2021-12-18,0.134616666666667
"cntl",2021-12-19,0.135471666666667
